iter	Passed	Remaining
0	168	168135
1	176	88071
2	183	60885
3	190	47345
4	196	39074
5	203	33686
6	209	29733
7	215	26752
8	222	24451
9	227	22542
10	233	20998
11	239	19710
12	245	18611
13	250	17665
14	256	16843
15	262	16133
16	268	15497
17	273	14940
18	279	14430
19	285	13986
20	291	13581
21	297	13223
22	303	12891
23	308	12563
24	315	12290
25	329	12351
26	335	12087
27	341	11853
28	347	11628
29	353	11417
30	359	11222
31	365	11053
32	371	10885
33	377	10713
34	382	10554
35	388	10409
36	394	10262
37	400	10133
38	406	10008
39	411	9877
40	417	9762
41	423	9655
42	429	9552
43	434	9450
44	440	9357
45	447	9273
46	453	9197
47	459	9113
48	465	9043
49	472	8971
50	478	8902
51	484	8832
52	490	8768
53	496	8703
54	502	8638
55	508	8573
56	514	8507
57	520	8446
58	525	8388
59	532	8334
60	537	8279
61	543	8228
62	549	8173
63	555	8122
64	561	8080
65	568	8040
66	574	7997
67	580	7959
68	587	7923
69	593	7884
70	599	7844
71	606	7810
72	612	7781
73	619	7747
74	625	7714
75	632	7687
76	638	7656
77	644	7623
78	651	7590
79	657	7558
80	663	7530
81	669	7500
82	676	7470
83	682	7438
84	688	7411
85	694	7383
86	700	7354
87	707	7330
88	713	7300
89	719	7272
90	725	7244
91	731	7218
92	737	7188
93	742	7160
94	748	7134
95	754	7104
96	759	7074
97	766	7050
98	771	7023
99	777	6995
100	783	6972
101	789	6946
102	794	6918
103	800	6897
104	806	6874
105	812	6852
106	818	6829
107	824	6805
108	829	6781
109	835	6758
110	841	6739
111	847	6716
112	852	6693
113	858	6672
114	864	6650
115	869	6627
116	875	6607
117	881	6587
118	887	6568
119	893	6549
120	898	6528
121	904	6510
122	910	6492
123	916	6475
124	922	6457
125	928	6440
126	934	6421
127	940	6404
128	945	6384
129	951	6365
130	956	6347
131	962	6330
132	968	6313
133	974	6295
134	979	6275
135	985	6260
136	991	6243
137	996	6224
138	1002	6210
139	1008	6194
140	1014	6177
141	1019	6162
142	1025	6147
143	1031	6130
144	1037	6115
145	1042	6100
146	1048	6085
147	1054	6071
148	1060	6055
149	1066	6040
150	1071	6025
151	1077	6009
152	1082	5993
153	1088	5977
154	1094	5965
155	1099	5949
156	1105	5934
157	1110	5919
158	1116	5904
159	1121	5890
160	1127	5876
161	1133	5861
162	1138	5847
163	1144	5832
164	1149	5817
165	1155	5803
166	1160	5790
167	1166	5777
168	1172	5763
169	1177	5749
170	1183	5735
171	1188	5722
172	1194	5709
173	1199	5695
174	1205	5681
175	1211	5670
176	1216	5658
177	1223	5649
178	1229	5639
179	1236	5631
180	1242	5622
181	1248	5612
182	1255	5603
183	1261	5592
184	1267	5583
185	1274	5575
186	1279	5564
187	1286	5554
188	1292	5544
189	1298	5534
190	1304	5526
191	1310	5516
192	1316	5506
193	1322	5495
194	1328	5485
195	1334	5475
196	1340	5466
197	1347	5457
198	1353	5448
199	1359	5439
200	1366	5431
201	1372	5423
202	1378	5413
203	1385	5404
204	1391	5395
205	1397	5385
206	1403	5375
207	1409	5365
208	1415	5356
209	1421	5346
210	1427	5337
211	1433	5327
212	1439	5318
213	1445	5308
214	1451	5299
215	1457	5291
216	1464	5284
217	1470	5276
218	1477	5268
219	1483	5259
220	1489	5250
221	1495	5242
222	1501	5232
223	1507	5222
224	1513	5213
225	1519	5203
226	1525	5193
227	1530	5183
228	1536	5172
229	1541	5161
230	1549	5157
231	1554	5146
232	1560	5137
233	1566	5127
234	1571	5116
235	1577	5107
236	1583	5096
237	1588	5085
238	1594	5076
239	1599	5066
240	1605	5056
241	1611	5047
242	1616	5036
243	1622	5027
244	1628	5017
245	1633	5007
246	1639	4998
247	1645	4988
248	1650	4978
249	1656	4968
250	1661	4958
251	1667	4949
252	1672	4939
253	1678	4928
254	1684	4919
255	1690	4912
256	1696	4905
257	1702	4897
258	1708	4888
259	1714	4880
260	1720	4871
261	1751	4932
262	1758	4928
263	1764	4919
264	1770	4909
265	1775	4900
266	1781	4891
267	1787	4883
268	1793	4874
269	1799	4865
270	1804	4855
271	1810	4846
272	1815	4835
273	1821	4825
274	1826	4815
275	1831	4805
276	1837	4795
277	1842	4786
278	1848	4777
279	1854	4767
280	1859	4758
281	1865	4748
282	1870	4738
283	1875	4729
284	1881	4719
285	1886	4710
286	1892	4700
287	1897	4691
288	1903	4683
289	1909	4674
